timestamp,open,high,low,close,volume
2023-04-01 01:00:00,1823.15,1834.67,1821.76,1832.91,420.48279917
2023-04-01 02:00:00,1833.23,1841.75,1825.24,1829.95,697.16463599
2023-04-01 03:00:00,1829.71,1830.21,1825.23,1827.11,190.44173486
2023-04-01 04:00:00,1827.11,1829.57,1825.05,1827.34,184.15957446
2023-04-01 05:00:00,1827.5,1827.5,1821.04,1826.21,616.95276711
2023-04-01 06:00:00,1826.21,1826.21,1813.63,1823.52,274.18050689
2023-04-01 07:00:00,1823.61,1826.33,1819.42,1824.02,343.5849622
2023-04-01 08:00:00,1824.5,1828.8,1821.8,1826.16,191.9094591
2023-04-01 09:00:00,1826.16,1827.95,1824.98,1826.51,296.9001421
2023-04-01 10:00:00,1826.51,1827.88,1823.16,1827.26,62.89561979
2023-04-01 11:00:00,1827.67,1827.96,1823.74,1825.01,50.91334138
2023-04-01 12:00:00,1824.96,1827.75,1824.21,1827.7,24.20803302
2023-04-01 13:00:00,1827.66,1827.67,1825.45,1826.57,57.454973
2023-04-01 14:00:00,1826.51,1826.83,1814.34,1818.66,637.57218947
2023-04-01 15:00:00,1817.6,1822.1,1814.74,1820.86,300.26818506
2023-04-01 16:00:00,1820.95,1824.49,1810.0,1815.86,661.89237685
2023-04-01 17:00:00,1815.96,1819.38,1815.96,1816.49,462.83034059
2023-04-01 18:00:00,1816.5,1816.5,1813.52,1815.45,565.59135369
2023-04-01 19:00:00,1815.42,1815.9,1811.52,1813.0,1869.71413737
2023-04-01 20:00:00,1813.0,1824.51,1813.0,1817.06,1381.137804
2023-04-01 21:00:00,1816.84,1822.27,1816.49,1821.17,83.95383146
2023-04-01 22:00:00,1821.07,1826.21,1820.53,1823.58,236.89228481
2023-04-01 23:00:00,1823.88,1824.92,1820.25,1821.06,526.86122778
2023-04-02 00:00:00,1821.07,1822.76,1812.41,1813.95,681.87050035
2023-04-02 01:00:00,1814.57,1817.34,1812.61,1812.85,66.57729406
2023-04-02 02:00:00,1812.62,1815.07,1809.61,1814.47,93.17871023
2023-04-02 03:00:00,1814.48,1818.65,1813.84,1817.22,215.55027003
2023-04-02 04:00:00,1817.87,1818.75,1814.35,1814.35,157.84824902
2023-04-02 05:00:00,1814.41,1822.0,1814.41,1822.0,114.22148101
2023-04-02 06:00:00,1821.98,1824.0,1820.08,1823.32,243.92052913
2023-04-02 07:00:00,1823.33,1824.0,1821.01,1821.2,213.29529569
2023-04-02 08:00:00,1821.24,1821.3,1816.38,1818.12,214.04705583
2023-04-02 09:00:00,1818.49,1823.0,1818.34,1822.44,179.81638676
2023-04-02 10:00:00,1822.34,1822.34,1817.46,1817.75,374.41746858
2023-04-02 11:00:00,1817.8,1819.01,1815.0,1817.49,121.52566486
2023-04-02 12:00:00,1817.43,1817.54,1810.84,1813.53,1280.85063645
2023-04-02 13:00:00,1813.38,1818.9,1805.35,1813.0,621.3590955
2023-04-02 14:00:00,1813.0,1816.37,1811.76,1814.02,67.86578704
